temperature,humidity,mq2_smoke,mq135_gas,flame_detected,cv_flame_score,cv_smoke_score,person_detected,label
35.67,41.3,259,231,0,0.12,0.31,1,Warning
23.66,34.83,166,198,0,0.1,0.1,0,Safe
24.21,49.66,162,123,0,0.09,0.07,0,Safe
53.85,14.64,735,848,1,0.71,0.81,1,Fire Detected
21.17,42.57,133,248,0,0.03,0.08,0,Safe
32.35,48.23,114,134,0,0.03,0.0,0,Safe
22.34,39.93,149,235,0,0.03,0.07,1,Safe
37.78,44.48,246,362,0,0.06,0.5,1,Warning
41.29,23.34,300,702,0,0.14,0.3,0,Gas Leak
41.4,38.04,217,249,0,0.08,0.32,1,Warning
45.41,32.62,878,818,1,0.82,0.69,0,Fire Detected
65.37,26.81,929,866,1,0.98,1.0,0,Evacuate Immediately
41.53,35.31,342,216,0,0.3,0.48,1,Warning
44.2,26.0,428,643,0,0.16,0.49,1,Gas Leak
25.29,55.28,127,131,0,0.1,0.08,1,Safe
35.91,35.81,256,340,0,0.15,0.32,1,Warning
82.98,8.48,1022,918,1,0.95,0.93,0,Evacuate Immediately
27.91,34.55,136,114,0,0.04,0.03,0,Safe
89.45,18.81,884,907,1,0.95,0.97,0,Evacuate Immediately
49.84,17.71,811,643,1,0.85,0.8,1,Fire Detected
32.38,36.99,118,100,0,0.1,0.03,0,Safe
40.79,38.86,335,269,0,0.11,0.37,0,Warning
48.28,20.39,513,642,0,0.2,0.55,1,Gas Leak
50.09,10.76,791,805,1,0.81,0.75,1,Fire Detected
38.98,41.26,334,317,0,0.01,0.49,1,Warning
81.63,22.2,979,917,1,0.97,0.95,0,Evacuate Immediately
33.19,31.81,167,163,0,0.02,0.03,1,Safe
37.91,53.49,360,399,0,0.11,0.35,1,Warning
31.9,40.61,153,113,0,0.04,0.02,0,Safe
38.18,35.75,347,736,0,0.24,0.37,0,Gas Leak
36.6,22.95,517,631,0,0.25,0.39,1,Gas Leak
44.07,47.38,310,371,0,0.26,0.38,1,Warning
45.72,30.57,307,757,0,0.11,0.4,0,Gas Leak
27.95,33.8,124,171,0,0.06,0.08,0,Safe
23.21,48.72,195,105,0,0.05,0.01,0,Safe
43.64,40.46,426,706,0,0.19,0.31,0,Gas Leak
33.76,38.31,158,131,0,0.05,0.03,0,Safe
43.62,37.0,439,797,0,0.13,0.58,0,Gas Leak
74.55,29.58,1018,948,1,0.91,0.94,0,Evacuate Immediately
38.15,43.98,360,323,0,0.17,0.31,0,Warning
41.21,37.73,431,852,0,0.24,0.39,0,Gas Leak
26.96,38.15,163,135,0,0.03,0.05,0,Safe
37.79,40.9,311,363,0,0.15,0.23,0,Warning
57.79,37.04,753,799,1,0.71,0.89,1,Fire Detected
25.1,46.99,105,105,0,0.01,0.05,1,Safe
22.73,46.05,200,113,0,0.09,0.04,1,Safe
62.27,23.36,710,838,1,0.81,0.74,1,Fire Detected
21.41,38.43,103,105,0,0.02,0.09,0,Safe
31.63,32.83,159,177,0,0.1,0.1,0,Safe
63.7,37.2,818,747,1,0.87,0.69,1,Fire Detected
24.77,56.45,174,248,0,0.06,0.1,0,Safe
76.44,8.68,874,912,1,0.97,0.94,0,Evacuate Immediately
23.37,52.47,181,191,0,0.07,0.01,0,Safe
39.55,59.59,326,284,0,0.02,0.31,0,Warning
39.99,31.0,341,863,0,0.17,0.37,1,Gas Leak
44.21,44.14,218,357,0,0.1,0.29,0,Warning
40.56,24.63,469,708,0,0.35,0.35,0,Gas Leak
37.62,37.68,453,678,0,0.2,0.48,1,Gas Leak
69.22,34.07,800,630,1,0.63,0.65,0,Fire Detected
44.34,41.71,246,396,0,0.11,0.29,0,Warning
36.89,48.3,280,388,0,0.06,0.49,0,Warning
36.79,53.25,294,229,0,0.01,0.39,1,Warning
40.23,47.47,213,305,0,0.01,0.42,0,Warning
47.35,29.91,717,719,1,0.74,0.8,1,Fire Detected
39.45,56.24,256,358,0,0.2,0.36,1,Warning
41.39,46.29,339,347,0,0.22,0.37,0,Warning
25.18,53.24,116,104,0,0.01,0.02,1,Safe
49.97,23.43,336,858,0,0.25,0.51,0,Gas Leak
37.27,48.51,359,344,0,0.06,0.39,1,Warning
47.8,42.53,562,764,0,0.15,0.38,0,Gas Leak
31.57,47.75,155,176,0,0.02,0.07,1,Safe
49.38,48.87,499,786,0,0.33,0.57,0,Gas Leak
24.07,58.76,170,193,0,0.07,0.08,0,Safe
79.21,18.02,875,970,1,0.92,0.96,0,Evacuate Immediately
35.56,50.87,380,324,0,0.13,0.22,0,Warning
32.69,32.89,154,114,0,0.06,0.01,1,Safe
65.62,16.54,845,819,1,0.87,0.81,1,Fire Detected
34.22,31.77,127,108,0,0.05,0.0,1,Safe
53.8,26.95,837,799,1,0.61,0.61,0,Fire Detected
41.3,28.77,575,705,0,0.32,0.44,1,Gas Leak
49.28,36.89,321,860,0,0.23,0.39,0,Gas Leak
38.67,42.75,508,681,0,0.21,0.39,1,Gas Leak
31.64,51.99,187,153,0,0.0,0.07,1,Safe
35.71,55.08,284,300,0,0.03,0.39,1,Warning
29.98,47.01,194,226,0,0.0,0.02,0,Safe
29.56,40.4,104,238,0,0.07,0.02,0,Safe
57.08,21.64,865,751,1,0.69,0.81,0,Fire Detected
67.64,17.64,744,680,1,0.83,0.69,1,Fire Detected
64.23,26.22,791,757,1,0.74,0.86,0,Fire Detected
42.53,56.29,208,344,0,0.12,0.28,1,Warning
34.11,56.37,158,242,0,0.03,0.05,0,Safe
67.25,7.48,865,968,1,0.93,1.0,0,Evacuate Immediately
20.18,41.63,123,146,0,0.08,0.02,0,Safe
27.19,34.21,111,123,0,0.01,0.03,0,Safe
32.56,42.78,107,249,0,0.07,0.05,1,Safe
48.9,38.74,367,804,0,0.39,0.57,0,Gas Leak
20.02,47.32,183,148,0,0.09,0.06,1,Safe
47.19,30.65,444,867,0,0.29,0.43,1,Gas Leak
29.38,37.91,136,247,0,0.01,0.08,1,Safe
38.06,33.54,517,633,0,0.22,0.38,0,Gas Leak
22.8,38.48,166,225,0,0.05,0.06,0,Safe
30.83,33.8,142,222,0,0.03,0.09,0,Safe
37.12,36.9,219,399,0,0.03,0.45,0,Warning
40.91,30.37,235,300,0,0.1,0.3,0,Warning
30.4,30.19,121,184,0,0.08,0.06,0,Safe
59.5,39.57,800,642,1,0.9,0.72,0,Fire Detected
37.38,37.64,345,317,0,0.2,0.23,1,Warning
36.86,43.24,596,731,0,0.2,0.4,1,Gas Leak
42.19,21.15,496,687,0,0.19,0.41,1,Gas Leak
44.23,42.74,270,256,0,0.12,0.25,1,Warning
49.21,22.78,536,767,0,0.34,0.37,0,Gas Leak
61.62,13.72,706,845,1,0.81,0.67,1,Fire Detected
22.6,58.59,172,153,0,0.05,0.06,1,Safe
25.26,31.06,100,116,0,0.05,0.07,0,Safe
62.96,34.75,774,760,1,0.69,0.66,0,Fire Detected
57.81,24.87,777,621,1,0.85,0.64,1,Fire Detected
31.06,43.81,101,101,0,0.02,0.09,1,Safe
62.28,27.33,705,834,1,0.81,0.63,1,Fire Detected
35.92,34.46,330,314,0,0.3,0.36,1,Warning
29.04,36.96,178,169,0,0.06,0.07,0,Safe
42.59,42.53,495,671,0,0.14,0.59,1,Gas Leak
22.63,56.84,107,203,0,0.08,0.1,1,Safe
38.3,25.8,389,810,0,0.26,0.52,0,Gas Leak
24.4,32.05,113,141,0,0.09,0.09,0,Safe
40.8,26.96,488,859,0,0.3,0.5,0,Gas Leak
37.62,30.61,277,348,0,0.02,0.36,0,Warning
24.15,34.01,178,210,0,0.04,0.03,1,Safe
57.02,16.61,892,692,1,0.72,0.69,0,Fire Detected
23.9,55.35,113,200,0,0.08,0.1,0,Safe
69.98,15.56,973,948,1,0.92,0.95,0,Evacuate Immediately
42.05,44.35,354,767,0,0.25,0.31,0,Gas Leak
35.12,59.86,217,357,0,0.21,0.47,0,Warning
35.96,56.11,222,351,0,0.15,0.48,0,Warning
34.96,50.14,101,205,0,0.1,0.09,0,Safe
49.69,17.36,786,850,1,0.61,0.83,1,Fire Detected
38.02,21.31,541,863,0,0.13,0.42,1,Gas Leak
97.5,27.56,907,989,1,1.0,0.95,0,Evacuate Immediately
51.07,32.17,810,823,1,0.85,0.67,1,Fire Detected
37.72,47.73,570,664,0,0.15,0.57,1,Gas Leak
45.5,26.06,320,652,0,0.39,0.4,1,Gas Leak
40.69,44.38,422,734,0,0.36,0.4,0,Gas Leak
96.56,16.81,923,921,1,0.91,0.96,0,Evacuate Immediately
39.23,58.04,216,246,0,0.2,0.4,0,Warning
82.96,14.27,876,996,1,0.98,0.92,0,Evacuate Immediately
35.51,31.33,492,694,0,0.37,0.5,0,Gas Leak
40.99,20.58,304,748,0,0.29,0.58,1,Gas Leak
35.55,58.84,386,302,0,0.01,0.24,0,Warning
67.24,33.78,851,821,1,0.61,0.65,0,Fire Detected
23.82,36.89,135,124,0,0.08,0.01,0,Safe
30.63,46.43,138,100,0,0.04,0.06,0,Safe
39.34,41.84,315,340,0,0.16,0.32,1,Warning
51.44,36.59,723,622,1,0.73,0.86,0,Fire Detected
39.51,28.65,512,688,0,0.11,0.38,0,Gas Leak
57.42,37.08,794,667,1,0.75,0.64,1,Fire Detected
39.89,48.31,240,327,0,0.19,0.25,0,Warning
40.66,58.46,340,224,0,0.19,0.47,1,Warning
59.16,37.72,893,780,1,0.76,0.87,0,Fire Detected
56.37,33.14,879,713,1,0.78,0.88,1,Fire Detected
38.2,51.43,384,253,0,0.21,0.33,0,Warning
90.43,20.21,1014,931,1,0.96,0.98,0,Evacuate Immediately
37.61,33.39,594,808,0,0.23,0.38,0,Gas Leak
24.21,48.78,166,179,0,0.04,0.05,0,Safe
20.94,45.85,166,146,0,0.04,0.03,1,Safe
23.78,41.18,102,180,0,0.01,0.05,0,Safe
22.5,59.04,166,184,0,0.04,0.06,0,Safe
43.97,58.43,384,260,0,0.04,0.46,0,Warning
44.9,20.72,381,679,0,0.2,0.31,1,Gas Leak
86.62,10.88,981,899,1,0.98,0.92,0,Evacuate Immediately
24.38,59.81,146,195,0,0.02,0.02,1,Safe
40.34,47.26,356,284,0,0.24,0.41,0,Warning
57.51,10.98,841,657,1,0.7,0.69,1,Fire Detected
44.33,36.91,336,752,0,0.12,0.47,0,Gas Leak
71.07,13.81,1022,1000,1,0.96,0.95,0,Evacuate Immediately
39.12,54.28,255,219,0,0.1,0.45,0,Warning
38.91,25.92,534,896,0,0.19,0.53,0,Gas Leak
81.66,21.69,1017,927,1,0.91,0.93,0,Evacuate Immediately
32.38,49.37,150,129,0,0.06,0.0,1,Safe
24.36,55.48,113,115,0,0.05,0.05,1,Safe
28.44,47.73,185,205,0,0.06,0.1,0,Safe
28.64,58.53,141,112,0,0.05,0.01,0,Safe
30.98,45.12,104,133,0,0.09,0.09,0,Safe
43.62,22.9,426,768,0,0.39,0.57,1,Gas Leak
69.27,34.44,860,698,1,0.78,0.89,0,Fire Detected
30.58,43.76,139,142,0,0.06,0.05,1,Safe
42.49,25.96,589,794,0,0.16,0.5,0,Gas Leak
33.17,35.88,126,130,0,0.1,0.07,0,Safe
42.76,49.41,272,243,0,0.27,0.3,1,Warning
24.23,54.55,192,218,0,0.05,0.08,1,Safe
35.16,37.7,385,633,0,0.27,0.46,1,Gas Leak
61.22,35.49,864,783,1,0.7,0.6,0,Fire Detected
42.36,55.69,270,395,0,0.16,0.32,0,Warning
55.96,27.09,845,753,1,0.67,0.6,1,Fire Detected
36.24,35.95,242,346,0,0.16,0.38,0,Warning
55.71,33.99,794,808,1,0.67,0.88,1,Fire Detected
45.54,26.91,363,822,0,0.24,0.45,0,Gas Leak
28.92,55.42,172,148,0,0.04,0.02,0,Safe
39.06,33.29,307,240,0,0.22,0.43,0,Warning
41.14,49.38,203,381,0,0.28,0.4,1,Warning
65.23,11.75,712,600,1,0.75,0.8,1,Fire Detected
47.78,36.91,452,632,0,0.26,0.58,1,Gas Leak
41.02,49.58,260,286,0,0.12,0.28,0,Warning
41.14,49.17,277,210,0,0.14,0.37,1,Warning
36.99,52.22,242,208,0,0.22,0.2,1,Warning
57.13,18.2,845,685,1,0.68,0.7,1,Fire Detected
41.47,22.25,565,673,0,0.14,0.35,0,Gas Leak
30.98,53.48,145,230,0,0.07,0.05,1,Safe
63.84,29.7,770,601,1,0.7,0.87,1,Fire Detected
43.86,36.25,525,892,0,0.13,0.45,0,Gas Leak
69.13,22.13,825,756,1,0.6,0.67,1,Fire Detected
29.72,36.71,134,216,0,0.08,0.09,1,Safe
29.3,59.46,113,100,0,0.1,0.08,1,Safe
26.39,50.87,103,133,0,0.03,0.04,1,Safe
49.69,18.1,767,811,1,0.63,0.67,0,Fire Detected
42.81,39.72,200,294,0,0.13,0.45,1,Warning
42.12,36.01,334,200,0,0.25,0.25,1,Warning
47.12,11.62,800,639,1,0.76,0.72,0,Fire Detected
24.35,33.47,151,160,0,0.09,0.09,0,Safe
86.61,11.95,960,883,1,0.93,0.97,0,Evacuate Immediately
47.25,24.32,551,810,0,0.16,0.46,1,Gas Leak
41.77,38.78,382,307,0,0.17,0.26,0,Warning
46.82,33.48,374,868,0,0.22,0.38,0,Gas Leak
37.46,33.74,248,343,0,0.13,0.48,1,Warning
40.2,48.1,360,349,0,0.03,0.23,0,Warning
69.44,27.05,1021,927,1,0.96,0.9,0,Evacuate Immediately
27.75,43.05,126,201,0,0.02,0.05,1,Safe
36.58,26.22,497,763,0,0.3,0.52,0,Gas Leak
36.06,56.8,203,324,0,0.01,0.43,0,Warning
44.46,41.05,348,803,0,0.37,0.37,0,Gas Leak
36.23,37.91,259,304,0,0.18,0.26,1,Warning
42.25,41.58,440,891,0,0.27,0.59,0,Gas Leak
47.68,47.4,462,622,0,0.21,0.46,0,Gas Leak
47.33,37.9,550,819,0,0.16,0.54,1,Gas Leak
58.97,21.94,734,783,1,0.89,0.69,0,Fire Detected
43.34,35.71,524,735,0,0.18,0.56,1,Gas Leak
53.62,26.47,849,624,1,0.67,0.7,0,Fire Detected
57.09,31.63,765,647,1,0.83,0.86,1,Fire Detected
21.06,39.42,171,212,0,0.09,0.01,0,Safe
64.86,19.57,873,805,1,0.87,0.72,1,Fire Detected
40.77,33.59,417,629,0,0.11,0.48,0,Gas Leak
38.24,39.48,303,335,0,0.27,0.25,1,Warning
36.19,46.3,366,318,0,0.04,0.32,0,Warning
92.79,8.4,958,1022,1,0.9,0.95,0,Evacuate Immediately
44.63,27.57,343,672,0,0.23,0.46,0,Gas Leak
67.16,37.48,871,680,1,0.62,0.77,1,Fire Detected
41.07,45.54,343,217,0,0.27,0.4,1,Warning
62.6,19.61,896,799,1,0.85,0.72,1,Fire Detected
31.56,40.96,159,184,0,0.03,0.1,1,Safe
34.82,51.52,188,123,0,0.09,0.03,0,Safe
21.32,51.05,167,112,0,0.08,0.01,1,Safe
36.04,41.75,325,284,0,0.02,0.32,1,Warning
32.07,43.34,129,202,0,0.09,0.02,0,Safe
38.5,47.31,343,743,0,0.25,0.53,0,Gas Leak
55.29,13.31,717,741,1,0.9,0.75,1,Fire Detected
32.32,34.26,112,235,0,0.03,0.04,0,Safe
41.16,30.88,358,606,0,0.13,0.4,0,Gas Leak
32.44,55.96,183,211,0,0.07,0.02,0,Safe
38.93,45.13,505,611,0,0.24,0.4,0,Gas Leak
40.24,46.18,459,743,0,0.33,0.39,1,Gas Leak
49.87,37.72,522,820,0,0.18,0.32,0,Gas Leak
48.46,16.45,752,603,1,0.82,0.75,0,Fire Detected
60.23,10.81,703,781,1,0.87,0.61,0,Fire Detected
57.57,20.23,854,682,1,0.85,0.76,1,Fire Detected
58.84,16.36,816,664,1,0.82,0.79,0,Fire Detected
43.63,26.56,472,803,0,0.4,0.58,0,Gas Leak
37.98,47.54,345,399,0,0.24,0.49,1,Warning
60.56,18.86,795,654,1,0.83,0.77,1,Fire Detected
31.17,34.6,123,240,0,0.08,0.05,0,Safe
45.75,30.83,527,839,0,0.36,0.36,0,Gas Leak
37.73,59.31,359,223,0,0.14,0.2,1,Warning
78.62,28.8,970,944,1,0.95,0.99,0,Evacuate Immediately
30.58,33.73,183,242,0,0.07,0.05,1,Safe
39.94,42.73,530,805,0,0.33,0.36,1,Gas Leak
29.43,59.82,163,197,0,0.02,0.01,0,Safe
20.06,59.87,117,105,0,0.08,0.01,1,Safe
41.98,41.86,290,378,0,0.0,0.39,1,Warning
41.51,45.77,201,299,0,0.01,0.32,1,Warning
25.31,45.4,111,145,0,0.09,0.02,1,Safe
40.99,42.83,444,743,0,0.11,0.32,1,Gas Leak
34.3,52.62,145,145,0,0.04,0.08,0,Safe
37.35,45.32,458,697,0,0.16,0.4,0,Gas Leak
69.7,22.04,880,996,1,0.95,0.93,0,Evacuate Immediately
38.55,20.49,464,829,0,0.23,0.4,0,Gas Leak
40.23,29.03,360,861,0,0.33,0.48,1,Gas Leak
57.89,17.05,742,735,1,0.72,0.67,1,Fire Detected
69.46,22.62,729,751,1,0.79,0.77,0,Fire Detected
39.35,37.76,339,286,0,0.07,0.32,1,Warning
42.42,26.0,462,891,0,0.21,0.49,0,Gas Leak
50.8,34.75,802,638,1,0.75,0.78,1,Fire Detected
44.75,26.45,469,802,0,0.37,0.49,0,Gas Leak
52.68,28.45,740,813,1,0.64,0.89,1,Fire Detected
96.36,18.36,852,962,1,0.99,0.92,0,Evacuate Immediately
30.43,35.72,166,156,0,0.06,0.02,0,Safe
38.1,53.23,327,235,0,0.08,0.28,0,Warning
85.43,29.38,987,934,1,0.99,0.96,0,Evacuate Immediately
37.76,42.69,446,623,0,0.4,0.59,1,Gas Leak
21.4,34.51,129,126,0,0.08,0.08,0,Safe
90.28,12.91,893,909,1,0.96,0.92,0,Evacuate Immediately
88.49,28.52,853,853,1,1.0,0.95,0,Evacuate Immediately
28.19,45.94,179,172,0,0.02,0.09,1,Safe
24.34,33.53,200,248,0,0.05,0.04,0,Safe
68.64,6.72,850,961,1,0.98,0.99,0,Evacuate Immediately
21.7,52.47,144,234,0,0.01,0.09,0,Safe
20.46,47.18,152,188,0,0.0,0.01,0,Safe
45.02,29.93,491,723,0,0.37,0.43,0,Gas Leak
67.68,15.36,1006,876,1,0.91,0.94,0,Evacuate Immediately
39.45,33.75,246,245,0,0.29,0.43,0,Warning
31.37,38.78,140,222,0,0.08,0.1,0,Safe
37.39,32.84,229,389,0,0.14,0.45,0,Warning
68.87,11.44,806,660,1,0.66,0.74,0,Fire Detected
29.21,40.83,150,210,0,0.1,0.08,1,Safe
39.96,34.77,360,228,0,0.21,0.22,1,Warning
39.54,33.76,217,391,0,0.07,0.39,1,Warning
56.73,27.56,853,755,1,0.89,0.89,0,Fire Detected
45.1,38.56,781,682,1,0.77,0.68,0,Fire Detected
67.9,19.82,865,729,1,0.77,0.85,0,Fire Detected
54.38,14.31,897,735,1,0.76,0.67,1,Fire Detected
20.56,44.76,174,236,0,0.03,0.09,1,Safe
40.88,45.09,457,798,0,0.33,0.31,0,Gas Leak
56.87,15.94,811,705,1,0.67,0.69,0,Fire Detected
34.83,41.74,169,143,0,0.03,0.08,1,Safe
80.35,16.85,944,966,1,0.9,0.94,0,Evacuate Immediately
42.88,33.7,495,749,0,0.32,0.48,1,Gas Leak
66.01,28.41,843,710,1,0.75,0.68,0,Fire Detected
24.17,58.63,130,193,0,0.09,0.09,0,Safe
41.99,53.78,248,259,0,0.2,0.43,1,Warning
21.7,44.1,162,102,0,0.09,0.03,0,Safe
24.49,58.62,123,250,0,0.09,0.04,1,Safe
26.69,32.02,103,181,0,0.04,0.05,0,Safe
42.28,32.44,348,290,0,0.09,0.23,0,Warning
40.87,27.53,313,900,0,0.21,0.4,0,Gas Leak
90.12,11.77,872,899,1,0.98,0.99,0,Evacuate Immediately
69.79,11.11,834,791,1,0.79,0.8,1,Fire Detected
56.1,18.06,899,775,1,0.76,0.64,0,Fire Detected
68.24,39.64,802,652,1,0.6,0.74,1,Fire Detected
38.18,32.21,355,284,0,0.18,0.45,1,Warning
28.37,31.43,184,146,0,0.01,0.03,0,Safe
44.36,35.97,541,798,0,0.22,0.46,0,Gas Leak
38.51,30.42,224,261,0,0.06,0.32,1,Warning
48.27,35.78,873,689,1,0.63,0.76,1,Fire Detected
85.28,16.46,931,882,1,0.99,0.98,0,Evacuate Immediately
53.23,11.54,754,792,1,0.67,0.68,1,Fire Detected
67.69,23.77,862,910,1,0.96,0.99,0,Evacuate Immediately
64.37,14.84,785,822,1,0.79,0.87,1,Fire Detected
59.7,15.56,847,739,1,0.71,0.84,0,Fire Detected
84.1,18.37,1018,899,1,0.91,0.96,0,Evacuate Immediately
34.95,45.42,171,212,0,0.09,0.07,0,Safe
44.2,53.93,379,275,0,0.13,0.49,1,Warning
58.95,21.6,889,602,1,0.84,0.64,0,Fire Detected
24.67,32.49,112,187,0,0.06,0.02,0,Safe
45.95,33.84,867,699,1,0.77,0.84,0,Fire Detected
40.99,43.31,288,347,0,0.24,0.48,1,Warning
51.05,23.27,875,779,1,0.83,0.82,0,Fire Detected
44.42,39.36,307,725,0,0.39,0.46,0,Gas Leak
32.18,44.86,165,137,0,0.02,0.09,1,Safe
66.96,17.88,889,741,1,0.67,0.62,1,Fire Detected
42.09,30.22,552,734,0,0.12,0.38,0,Gas Leak
94.29,10.32,962,1023,1,0.96,0.9,0,Evacuate Immediately
36.22,30.1,265,209,0,0.02,0.48,1,Warning
74.43,24.07,928,907,1,0.91,0.98,0,Evacuate Immediately
27.14,44.22,116,126,0,0.01,0.01,1,Safe
68.09,15.1,815,741,1,0.84,0.63,0,Fire Detected
41.99,38.88,224,356,0,0.17,0.24,1,Warning
35.1,33.8,492,762,0,0.23,0.48,1,Gas Leak
37.18,38.01,507,776,0,0.27,0.43,0,Gas Leak
47.64,13.6,819,764,1,0.71,0.64,1,Fire Detected
50.67,17.61,729,709,1,0.66,0.79,1,Fire Detected
96.39,23.87,910,884,1,0.96,0.99,0,Evacuate Immediately
76.38,17.15,911,960,1,0.93,0.99,0,Evacuate Immediately
54.32,15.28,793,786,1,0.72,0.76,0,Fire Detected
43.59,52.49,372,373,0,0.27,0.21,1,Warning
43.97,28.12,585,614,0,0.35,0.57,0,Gas Leak
26.52,47.62,176,142,0,0.04,0.04,1,Safe
50.15,32.32,893,754,1,0.79,0.85,0,Fire Detected
34.23,46.48,152,149,0,0.07,0.08,0,Safe
43.9,28.31,404,878,0,0.32,0.46,0,Gas Leak
48.2,17.21,869,613,1,0.7,0.87,1,Fire Detected
28.05,31.98,140,129,0,0.09,0.07,1,Safe
21.49,50.17,105,105,0,0.07,0.09,0,Safe
43.8,58.1,377,320,0,0.26,0.22,0,Warning
25.32,37.43,139,196,0,0.03,0.05,0,Safe
47.61,14.89,891,684,1,0.89,0.77,1,Fire Detected
40.19,35.83,464,676,0,0.12,0.4,1,Gas Leak
78.31,23.56,958,1009,1,0.94,0.99,0,Evacuate Immediately
21.39,41.41,134,102,0,0.07,0.1,1,Safe
43.71,55.11,253,254,0,0.16,0.27,1,Warning
24.71,46.78,155,202,0,0.08,0.06,0,Safe
32.5,38.07,178,152,0,0.09,0.02,1,Safe
52.47,17.84,721,753,1,0.89,0.67,0,Fire Detected
25.4,59.38,186,115,0,0.01,0.06,0,Safe
68.63,6.34,968,881,1,0.97,0.91,0,Evacuate Immediately
22.11,54.96,175,170,0,0.02,0.05,0,Safe
20.38,32.46,105,132,0,0.06,0.07,0,Safe
37.13,55.5,228,219,0,0.04,0.47,0,Warning
40.34,41.16,539,633,0,0.38,0.54,0,Gas Leak
35.02,35.85,510,613,0,0.3,0.35,0,Gas Leak
54.49,32.58,707,718,1,0.79,0.83,1,Fire Detected
21.77,45.59,189,179,0,0.05,0.03,0,Safe
32.58,47.06,121,177,0,0.09,0.04,0,Safe
67.14,32.89,779,729,1,0.8,0.9,0,Fire Detected
39.92,26.3,431,759,0,0.11,0.52,1,Gas Leak
33.85,30.34,132,241,0,0.01,0.09,1,Safe
29.65,40.45,130,245,0,0.06,0.07,1,Safe
32.32,57.02,190,211,0,0.09,0.01,0,Safe
40.54,30.61,596,742,0,0.11,0.36,1,Gas Leak
44.0,42.37,335,729,0,0.25,0.39,1,Gas Leak
36.45,26.91,580,713,0,0.21,0.44,1,Gas Leak
36.24,56.51,335,367,0,0.01,0.5,0,Warning
25.84,50.09,200,243,0,0.03,0.05,1,Safe
44.7,42.32,218,276,0,0.3,0.27,1,Warning
27.44,42.16,198,237,0,0.03,0.04,1,Safe
40.26,56.93,375,366,0,0.11,0.49,0,Warning
28.52,32.08,155,131,0,0.1,0.02,1,Safe
84.9,11.74,862,962,1,1.0,0.94,0,Evacuate Immediately
45.61,42.76,508,895,0,0.11,0.5,0,Gas Leak
44.63,50.26,383,258,0,0.24,0.42,0,Warning
24.11,39.6,179,105,0,0.09,0.03,1,Safe
44.29,39.22,355,230,0,0.11,0.27,0,Warning
39.42,29.38,593,702,0,0.27,0.51,0,Gas Leak
31.65,38.51,196,175,0,0.09,0.06,1,Safe
41.71,45.88,235,310,0,0.28,0.43,1,Warning
76.42,23.14,1006,970,1,0.96,0.95,0,Evacuate Immediately
41.2,43.51,325,210,0,0.16,0.28,1,Warning
32.64,54.18,130,202,0,0.02,0.02,1,Safe
74.05,6.29,962,957,1,0.93,0.98,0,Evacuate Immediately
55.41,34.53,878,697,1,0.71,0.79,1,Fire Detected
45.46,37.02,890,796,1,0.76,0.72,0,Fire Detected
27.21,45.86,172,112,0,0.04,0.04,1,Safe
44.66,32.42,215,359,0,0.29,0.31,1,Warning
27.54,49.05,130,149,0,0.03,0.08,0,Safe
38.2,47.72,299,323,0,0.23,0.34,0,Warning
40.39,35.83,353,216,0,0.02,0.38,0,Warning
38.04,53.4,279,291,0,0.13,0.4,1,Warning
94.98,27.58,856,961,1,0.98,0.94,0,Evacuate Immediately
